Author ID,Title,Content,Publish Time,Likes,Favorites,Comments
p图喵咪🐱,调色神操作—纸醉金迷,终于知道这种纸醉金迷怎么调了 好好看啊！#p图 #调色 #纸醉金迷 #b612 #滤镜调色教程 #爱官方别限流,07-10 河北,4466,2913,37
米勒Miller,快乐拉满，夏日快乐派对太绝啦,"烧烤啤酒小龙虾+乐队live🎵🌇
夏天的快乐就是这么简单
抬头就能看到东方明珠✨
	
氛围感直接拉满 随手一拍都是大片📸
小龙虾吃到爽！
现烤烧烤滋滋冒油🍖配冰啤酒爽到飞起
还有超多创意菜🍴颜值味道双在线！
	
🎸嗨玩整晚
晚上乐队现场开唱！氛围超炸
和朋友边吃边蹦 快乐到模糊
江风一吹 烦恼全没啦～
	
#上海夜生活 #魔都探店 #夏日派对 #网红餐厅打卡#东方明珠#上海旅游#上海美食#上海三件套",编辑于 07-07 上海,64,15,3
刑侦学点,刑侦知识|鞣尸,#刑侦日记 #法医知识 #案件 #破案 #知识 #名词解释 #叫我知识分享家 #有趣的知识又增长,5天前 安徽,4418,1438,233
囡囡,这把武器太厉害了，一击必中，太爽了,#一玩一个不吱声 #游戏日常 #本来很好玩 #游戏画面请勿当真 #游戏精彩时刻 #射击游戏 #游戏实况 #飞跃水泥地 #后室 #游戏顶级操作,4天前 辽宁,401,167,9
Petite mignonne,,#挚爱#池畏,编辑于 5天前 湖北,6913,96,1935
And Listen,他自嘲的可笑美貌，终究是凝视者自己的灵魂,#流浪的灵魂 #审美积累 #逝去的爱人 #微醺的1000种方式#不一样的审美观 #美貌与灵魂的共存,7天前 湖南,155,9,6
张-建国,我寻思没这剧情啊~,#i人﻿ ﻿#1米8内向害羞社恐腼腆文静小女孩,07-09 湖北,6611,1934,536
找工作的靓靓,B站，从650亿刀跌到85亿刀了,"B站这几年的起伏确实让人感慨，从当年的""小破站""到市值巅峰，再到如今的市值大幅缩水，背后反映的不仅是公司经营问题，更是整个互联网行业逻辑的变化。作为老用户，这种感受可能更复杂：
2021年B站月活突破2.72亿，但亏损却同比扩大122%:cite[1]。当时市场还愿意为增长买单，但如今投资人更看重盈利能力。即便2025年Q1 B站终于盈利3.6亿，市场反应依然平淡，说明资本对""先烧钱后变现""的模式已失去耐心:cite[10]。
早期B站的魅力在于独特的社区氛围，但破圈后内容质量参差不齐的问题凸显。虽然2025年用户日均使用时长仍达108分钟:cite[10]，但""抖音化""的竖屏短视频和越来越多广告确实让老用户感到氛围变味。尤其当年陈睿承诺""永不添加贴片广告""，如今广告收入却成为第二大营收来源2021年占比27%，这种""变质""感让核心用户抵触。
- 游戏业务从曾经的营收主力（2018年占80%）下滑到2025Q1的17.3亿，虽靠《三国：谋定天下》增长76%，但依赖单一爆款风险大。
- 增值服务（大会员、直播）增长放缓，与广告业务存在""零和博弈""
- 充电分成、IP衍生品等新尝试（如2025年充电收入增200%）还未成支柱。
	
抖音、小红书等平台侵蚀用户时间，B站的中长视频模式在碎片化时代确实吃亏。但反过来看，2025年BW展会3天吸引30万人次:，说明其线下活动和垂直领域仍有不可替代性。或许未来B站需要更聚焦核心优势，而非盲目追逐大众化。
	
就像你说的，早期社区氛围的流失最让人遗憾。但换个角度，如果B站不变现，可能连生存都成问题。2021年它现金储备302亿，按当时亏损速度只能撑5年:cite[1]。如今能盈利已算进步，只是平衡商业与情怀，永远是个难题。
	
未来关键或许在于：
- 能否守住中长视频的差异化优势（如2025年广告业务靠深度内容营销增长20%）
- 能否在游戏、直播等赛道找到第二增长曲线
- 能否通过线下活动（如BW）和IP运营增强用户粘性
	
你觉得B站还有机会重回巅峰吗？还是说这种""小而美""的宿命本就难逃？ 😅
﻿#科技﻿ ﻿#大厂﻿ ﻿#互联网",4天前 浙江,1063,245,550
YORU~,🇲🇾｜ 08年日系穿搭,#没有文案只有我 #日系 #日系男孩 #日系男,编辑于 7天前 马来西亚,39,1,12
小y^o^,✌️,#天秤座,5天前 四川,1077,69,16
Lezzie,看到这儿真的笑喷了，地狱笑话，陀思,#阅读记录 #《白痴》,6天前 四川,1万,2123,1006
Die Freiheit,我在连云港的人脉,"跟毕业后第一份jg工作的领导讲，有种他是好多人朋友的儿子、邻居的感觉
希望宝宝越来越好！#梓渝 #梓渝🐟",2天前 上海,2523,381,525
福满多,澳银行：我们的人也是人,直白#澳洲,5天前 澳大利亚,1635,173,304
Nicole_,厦大本科进度100%要说再见了🎓,#毕业,06-27 福建,1571,215,78
游小浪Game,Ai山海经版躲藏点？合成兽躲进蛋仔岛！,#蛋仔派对﻿ ﻿#蛋仔派对三周年﻿ ﻿#蛋仔派对蜜糖海迷踪﻿ ﻿#蛋仔小剧场,1天前 河北,7410,5267,212
我是秦朝人,我跟兵马俑撞脸了而且还同名,这件跪射俑胸前刻有朝字，这是当时宫廷的工匠，两千年后我姓高名朝，跟古人同名跨越千年而且还撞脸。#穿越千年与你相见 #秦始皇兵马俑博物馆 #兵马俑攻略 #西安 #陕西人像兵马俑 #秦始皇帝陵 #撞脸兵马俑,昨天 19:49 陕西,6738,361,883
DM东美大宅设计,简白美式&自然风一出手，我直接神魂颠倒啊,"上海别墅装修设计 | 上海美式风装修
上海别墅装修 | 上海美式复古风格装修
·
-
阳光洒满挑空客厅，一进门就治愈到心坎里！
每次回家都是满满的温柔与治愈
一下子就班味全无了🥹
简白美式系装修真的yyds！
.
🏷️ 🏷️ 上海浦东新区｜265㎡
上海独栋别墅｜上海别墅大宅｜上海别墅设计
·
✔
全屋以低饱和奶油白为基调，搭配温润木质元素
阳光透过落地窗洒进来，整个家像蒙上一层柔光滤镜✨
·
✔
踏步采用橡木原色板材，侧边做镂空设计
每走一步都像踩在森林树桩上，自然感扑面而来🌲
·
💡
ᝰ
✔✔✔为什么选东美？
◽️专业的设计团队，每年平均完成80-90套的别墅设计，为您量身打造美居
◽️excellent的施工团队，已完成1600+套别墅施工，丰富的经验保障工程perfect落地
·
💡
.
我是上海东美别墅设计师大D
✌️爱生活｜爱分享｜爱自然
✌️20年➕从业经验，深耕别墅大宅设计
✌️2000+江/浙/沪业主的信赖之选
.
#上海别墅装修推荐   #江浙沪别墅设计推荐   #美式别墅上海   #别墅装修案例   #别墅豪宅   #自建房   #美式客厅设计   #美式楼梯设计   #美式客厅挂画   #隔断设计   #格子窗   #自然风   #田园美式   #简白美式风格装修   #现代美式风   #可持续生活家   #与植物一起生活",06-24 上海,185,169,6
最爱汉堡噜,不对劲不对劲,我好坏好坏的#檀健次,1天前 广东,1761,261,63
张团团er,💜她只是我的妹妹，妹妹说紫色很有韵味～,"🖖Hi 大家好我是张团团
欢迎收看👏👏
这是我成为新人博主的第三篇plog
/
拍摄这组照片的时候脑子里一直循环播放🎶
“她只是我的妹妹，妹妹说紫色很有韵味～”
▫️很爱这种酸多甜少的🍇
▫️买了很多年的iPad，是很喜欢的紫色
▫️用新买的小杯子装满葡萄，慢慢吃
	
调色参数📷
曝光-10
鲜明度-22
高光+24
阴影-15
对比度-9
亮度+7
黑点+7
锐化+30
	
平板那张单独调节
蓝色饱和度+50
蓝色明度-65
目的让所有照片紫色统一
	
以上参数要根据光线和主题适当微调，不要照抄参数，学习思路，任何场景下都能调出满意的效果啦。调整好一张照片后，可以拷贝编辑点复制到其他照片，既高效又统一。
	
#手机摄影 #生活随手记 #紫色很有韵味 #暗色系调色 #低饱和滤镜 #低饱和色调 #滤镜调色教程 #紫色治愈系 #紫色的浪漫 #手机调色",2天前 山东,109,64,88
特拉法尔加班,只有海贼迷才能看懂的梗图,#海贼王 #onepiece #梗图 #memes #搞笑,昨天 18:58 北京,5202,533,359
Lena的运营笔记,现在做自媒体比24年难10倍！,"先说结论：如果你把 2024 年的那套“找爆款模板＋堆量”当成圣经，2025 年你会死得比谁都快。平台不是变卷了，是直接翻脸了。
1. 平台翻脸，连招呼都不打
去年你只要蹭到一条热门，系统会像老好人一样连续给你灌流量。今年？同一套选题、同一套剪辑，点击量直接脚踝斩。不是内容变差了，是平台把“重复”写进了黑名单。算法现在干一件事：把 90% 的流量锁在 1% 的“活人”身上。什么叫活人？能持续输出新信息密度、能拉停留、能带讨论。模板号？直接埋了。
2. 观众翻脸，比平台还快
去年观众刷到“3 天涨粉 1W 的秘籍”还会点个收藏，今年看到封面就骂“又割”。不是观众变聪明，是同质化内容把大家的爽点阈值拉到天花板。你再用同一套“钩子＋反转＋金句”三连击，观众第一反应是：这姐们儿又来骗点击。点赞？不举报就算仁慈。
	
后续见图。
	
#自媒体运营   #新媒体运营 #自媒体干货 #自媒体干货分享 #运营干货",3天前 北京,161,115,35
香菜,,支持有仇和好 朋友上位 别碰瓷,昨天 17:20 重庆,67,3,33
起司奶香猫,一张冬天的库存降降温,,昨天 20:24 安徽,5,2,1
哈哈,,求一个靠谱点的吧 征信查询多,2天前 山东,2,收藏,15
宋宋,我给托尼的和托尼给我的，嗯，安全下车,关于剪头发这件事，收藏了很久的高层次锁骨发，我给托尼的和托尼给我的，效果还是很满意的，安全下车，下次还剪，哈哈哈,07-10 吉林,286,202,61
野原小叮当,为什么我会一直想出国？,"疫情后我就一直在琢磨出国的事情
在预算有限的情况下
一开始打算去西班牙读研究生
后面发现读完后不一定能留下来
就选择去日本 成本最低 留下的机会较大
今年五月份下了在留卡 计划7月份就去日本
但是因为工作晋升管理层就延迟了
最近又在折腾这个事情 打算明年4月份再次出去
我反复思考为什么会这样一直折腾出去的事儿
总结出两个原因
一是没有安全感 我总觉得在国内上班很没有安全感
赚不到钱 混不出头 奔三的年纪很担心随时失业  尤其是女生 奔三的年纪很尴尬
二是想寻求更高的上限 在国内对于收入我似乎一眼就能望到头 我感觉自己五年内都不可能有机会年收入超过20万
出国就一定能解决我当前的困境吗？未必。
但退一万步说，即使出去了没有什么成就，我也无非是回到了起点。
#语言学校 #出国 #日本 #打工 #留学改变我的人生 #所以困住我们的到底是什么 #留学的价值 #日本签证 #日本留學 #日本语言学校",6天前 广东,2万,6376,2634
芒果西米露,,"我理解他们为什么杀青后要喝酒调整状态了
我全理解了
一个沙🐍花絮都能拍成这样
我开始理解了
我理解！！
#顺恨",5天前 湖南,2159,273,388
Clara,My First Post Here,"Living my pilot life at Norwegian Air! Super pumped to be on board here🇳🇴👩‍✈️
I fly the Boeing 737! Becoming a pilot has been my childhood dream. Gonna share my life and work stories here!
#hello #femalepilot #pilot #aircraft #737 #dream #life",4天前 挪威,1754,168,448
囡囡,,你永远都是我世界里 最耀眼的那颗太阳,2小时前 河北,6,收藏,评论
哆啦数码,荣耀手机有什么功能是你用了很久才发现的？,"救命！刚发现荣耀藏了超多「女生专属宝藏功能」✨ 能发小红书动态图就算了，调水印、防偷窥、隔空操作… 实用到想安利给全世界姐妹！ 用了才懂什么叫“越用越香”，
	
这波必须让更多人看到💡
快说说！你还挖到过哪些荣耀隐藏功能？评论区急需被种草！
#一人一个安卓使用技巧 #荣耀 #荣耀手机 #安卓 #荣耀隐藏功能 #一起聊数码 #玩机技巧 #数码大玩家 #数码 #手机技巧",昨天 21:05 河南,221,224,9
小桃,,这两天和小伙伴有点忙碌呀,2小时前 浙江,1,收藏,评论
懒绵羊,,支持有仇和好#祁无 #人生的意义 #热 #fyp,昨天 15:07 广东,102,5,102
欣大🍃在成长,90后不上班｜沉浸式创业,"好爱我自己车车🚗，红内饰瞅着就带劲！坐在车里数一下，好家伙，太喜欢这些红颜色了
	
💅🏻做得美美的，窝在车里晒晒太阳，这点小仪式感必须安排
	
中午选了家日料店，小格子料理，颜值和味道都在线。晚上又跑去家环境超牛的餐厅，菜摆盘跟艺术品似的，差点舍不得下筷子
	
回家路上逛到奢侈品店，给自己挑了个包
#90后创业 #创业生活 #日常分享 #生活仪式感
#生活碎片",编辑于 1天前 甘肃,295,39,102
三刀木lsh,有梓渝不明显头像吗,想换微信头像#梓渝 #找头像 #不明显头像 #极速小鱼,07-11 广东,4835,1927,1808
icelemonteaicelemontea,虹桥有自己的山口组,#老乡见老乡,7天前 上海,6407,685,794
今天又抽到鲁肃了吗,已经选好下个月的发型了,"上周末终于剪了短发。
不是图上这个。给理发师看的，跟我得到的，也可以说没有一点关系。但今早吹头发一分钟，真的爽翻了。
我头发厚，但最厚的地方是后脑勺处，加上颅顶低，脸包头，厚厚的长发没有起到丁点儿修饰作用，只增加了烦恼。
我习惯了长发，也习惯了“你脸大，不适合短发”这种理发师的托词。但其实，我个矮头大，长头发只会头重脚轻，令头身比更糟糕。
道理我都懂，但始终没有下定决心。
周日在理发店的镜子面前等待时，突然想到，长发也没有适合我，没有令我更美观，只是节省了理发师的工作量。
于是我就坚持长改短了，两个男理发师都不愿承担这样的苦工，最后由一位女理发师操刀。做得不好，一点都不好，但好歹是短了。
熬了一夜，凌晨洗了个头，像以往那样磨蹭着不想吹，但实在太想睡觉了，于是强迫自己，没想到，真的只需要一分钟。
下个月我要把这个图给理发师：剪，甭跟我说适不适合，就剪这么短。
我迟早要憋不住剪寸头。",编辑于 4天前 江苏,155,106,86
甜蜜ZAIZAI,家居vlog,#我的宅家Vlog #沉浸式记录生活 #vlog #生活vlog #宅家整活看我的,4天前 海南,5,2,1
momo,这里总该没有中国人去过了吧！,"看地图，发现了这个小岛，亚当斯敦。查了百科，截止2020年，岛上常住人口只有47人。
应该是很美很美的小岛吧🏝️",07-09 陕西,1.5万,3672,2320
心安处即是吾家,,巡查组来，巡查组来，巡查组来完审计署来，审计署来，审计署来，审计署来完人大调研来，人大调研来，人大调研来，人大调研完回头看来，回头看来，回头看来，回头看来完巡查组又来……#审计 #广西 #医疗,4天前 广西,5089,852,864
😊真猪妹妹🌀🌀,太原植物园🌵打卡星空电梯✨真的太太美,"这怎么会是太原 我难道不是来到了太空空间站吗
第一次被一个扶梯给震撼到真的太美了
	
📍太原植物园
🎫50
石家庄出发到太原两个半小时～
五点多到了先去租了个电瓶车 88一小时 转一转 人不算多 但环境真的绝美
有蝴蝶标本 还有好多绿植可以转转 花花也很漂亮～三个馆里还有很多没见过的大大小小的植物🌵🌴🌳🪻🌷🪷🌸
	
湖边有锦鲤 鸳鸯 还有黑天鹅 😄
晚上8点扶梯那边亮灯  灯亮的瞬间大家都发出了惊叹声 
再一次感叹 真的太美了✨
就是如果上电梯要早早的去排队 下电梯也要排队
#太原#太原植物园#美 #穿越时空隧道",编辑于 07-11 山西,6,1,10
木子渊,看似纤细实则有肉挑战,#主打就是一个反差 #上美丙 #ooc致歉 #看似纤细实则有肉,编辑于 07-11 新疆,1345,39,77
小mo,十几块钱纯棉？会是在虚标吗,"上网搜纯棉睡衣，每次前面几个总是特别便宜
	
我还筛选了面料，这个还在，详情页标注得倒是有模有样，但是价格嘛……
	
感觉太便宜（？）
但是不是说虚标违法吗？
	
#纯棉 #睡衣",3天前 四川,1502,588,250
杨老板,部门新员工开的宝马M3，我买什么车能压他一,预算40多万 #有想法轻松发,3天前 德国,47,13,373
微醺青苹果,学习很苦很累但是很酷,#学习很苦但坚持很酷 #在家学习的日常 #加油学习人 #满脑子都是前途#纯动力学 #学习使我快乐 #低头是题海抬头是未来,4天前 云南,15,1,4
暖汁小源,,#你爱张真源吗？ [PK]#,6天前 重庆,1,收藏,评论
。,,"日常摆摊
	
#格斗 #一起去打拳",编辑于 4天前 北京,点赞,收藏,评论
初荷夏眠詩.,妈妈说把头发梳起来 大大方方的.,#妘阮阮 #moka #妈妈说把头发梳起来大大方方的 #把头发梳起来大大方方的 #illit,编辑于 2天前 江苏,1293,83,32
加一,在外滩淋雨后,"下车回酒店的200米突然下暴雨
在狼狈跑回去和淡定走回去之间选择了拍照
索性直接给自己做了个背头
#06 #爱上下雨天",1小时前 广东,9,2,评论
小白羊,珠海爱情灯塔，吹吹风吧！🏖️,#当然要记录啊 #我的质感出片指南 #小红书视频创作激励计划 #九宫格卡点挑战,2小时前 辽宁,3,1,评论
彩虹味草莓🍓,祥子大胆飞，出事自己背🤣,"比较喜欢祥子的后面一段，《迪士尼速通卡》《飞跃太平间》《学医救不了中国人，救的了自己人》《ICU先》太敢说了祥子
#喜剧之王单口季 #于祥宇 #喜单2",昨天 16:59 江苏,4810,422,176
丧中求稳咕咕鸡,🇸🇬留学15块钱午餐吃什么🥣酒店剩菜盲盒🍗,#homeless变皇帝 #剩菜盲盒 #韩国大学食堂 #留学新加坡 #tgtg #林瀚食堂 #东北盒饭自助 #酒店自助餐 #新加坡vlog #留学生菜谱,6天前 江苏,2412,77,58
零下几度的风,公积金可提,"公积金自由提取！
分享公积金简单的提取步骤吧
1、点击市民中心或城市服务
2、找到公积金点进去
3、根据情况选择提取方式
4、可以选择整数提取
风险提示：“以上为个人经验整理，产品信息来自公积金管理中心公开资料，请以实际为准！大家按需申请，得如实填写资料#公积金 #五险一金 #存款    #公积金提取攻略   #公积金提取流程   #可提可帮",1小时前 广东,1,1,评论
Cecilia.,浦东机场休眠仓,"体验还不错
#上海浦东机场",6天前 上海,1191,322,453
睡眠模式,个人猜想而已,比起去考古梓渝的小红书，个人比较偏向于小梓渝私底下有对雷子说过这句话，所以他就顺手发了，刚好对应梓渝以前的文案（有没有被这句话治愈到），雷子表示他也有。#栩你渝生,编辑于 3天前 福建,791,69,202
大橘大利,六机长焦对比，苹果还是退出长焦赛道吧,"拍照设备：
📱HUAWEI Pura 80 Ultra
📱vivo X200 Ultra
📱小米 15 Ultra
📱iPhone16 Pro
📱OPPO Find X8 Ultra
📱三星 S25 Ultra
今天带了6台手机来拍摄广州塔对比图，均为晴天下午拍摄，原图直出无参数无滤镜，都是原相机放大20倍（图2-图7）和10倍（图8-图13）同一角度拍摄。一起看看这6台旗舰表现怎么样！
	
个人感受：
清晰度方面苹果和三星都不太占优势，尤其是苹果的长焦，10倍看着还不错，20倍的就不如其他手机清晰了，发灰感比较严重噪点也比较多。三星则是偏灰有雾感，看着雾蒙蒙的，画面边缘有轻微模糊，远处天线、网格的细节丢失较多。整体的清晰度和亮度是左边这三部手机（OV华）拍的比较好，放大看窗户、摩天轮、建筑细节等都比较清楚。
细节上个人感觉是小米更胜一筹，没有什么算法涂抹的痕迹，比较有真实感。徕卡色彩风格下，画面有 “德味” 质感，建筑细节（网格、塔顶天线）清晰。色彩还原方面比较喜欢OPPO拍的，天空云朵都比较清晰颜色也比较接近当天的真实颜色。画面比较通透，建筑纹理锐利且不失自然，云层层次、塔身的网格阴影等细节还原到位，长焦解析力出色。vivo和华为的色调也属于比较自然柔和的[心心眼R]。
	
每部手机都各有优劣，👀 你更喜欢哪部手机的长焦效果呢？一起来投票吧！
#你更喜欢哪个？ [投票]#
#数码大玩家 #OPPO #华为 #手机长焦 #三星 #iPhone #小米 #摄影 #拍照",昨天 18:35 广东,513,53,172
